model,total
조던 1 미드 라이트 스모크 그레이 앤트러사이트,2812
뉴발란스 991 메이드 인 UK 그레이,2402
나이키 x 꼼데가르송 옴므 플러스 ACG 마운틴 플라이 2 로우 블랙 화이트,878
나이키 에어 줌 알파플라이 넥스트% 2 엘리우드 킵초게,1638
나이키 리액트X 인피니티 런 4 화이트 라이트 레몬 트위스트,270
나이키 에어 베이퍼맥스 2023 플라이니트 퓨어 플래티넘,6405
(W) 에르메스 오란 샌들 카프스킨 & 누아 피케르 에크루즈,1
나이키 줌 머큐리얼 베이퍼 15 프로 TF 하이퍼 터콰이즈 푸시아 드림,486
아디다스 이지 슬라이드 아주르,102
푸마 스피드캣 LS 블랙 화이트,390
아디다스 스페지알 핸드볼 오프 화이트 실버 그린,93
살로몬 RX 모크 3.0 바닐라 아이스,221
나이키 프리미어 3 TF 블랙 화이트,385
나이키 x 마틴 로즈 샥스 MR4 블랙,549
아디다스 가젤 컬리지에이트 버건디,406
조던 1 로우 골프 울프 그레이,2717
아디다스 삼바 OG 카드보드 초크 화이트,372
뉴발란스 x JJJ자운드 2002R 고어텍스 차콜,138
아디다스 x 키스 스페지알 핸드볼 아마존 그린,131
(W) 나이키 코트 비전 로우 화이트 팀 레드,5608
킨 재스퍼 락스 SP 스니커즈 베이지,151
나이키 덩크 로우 레트로 챔피언쉽 코트 퍼플,2154
(W) 나이키 샥스 TL 블랙 앤 맥스 오렌지,1866
뉴발란스 860v2 블랙 그레이,115
아디다스 x 웨일스 보너 포니 토널 삼바 크림 화이트 미스테리 브라운,308
아식스 젤 벤쳐 6 화이트 블랙,1671
크록스 바야밴드 클로그 윈터 화이트 멀티,2190
(W) 헌터 오리지널 톨 레인 부츠 블랙,1766
호카 오라 리커버리 플립 블랙,227
크록스 스톰프 클로그 블랙,110
나이키 킬샷 2 레더 세일 오일 그레이 검,1971
(W) 아디다스 가젤 밸런타인데이 퍼티 모브 아이보리 - 풋락커 한정,3
살로몬 RX 메리 제인 바닐라 아이스,82
(W) 아디다스 아디폼 슈퍼스타 부츠 블랙,259
(W) 나이키 에어포스 1 '07 LX 게임 로얄 세일,920
아디다스 슈퍼스타 82 화이트 알루미늄,707
아식스 젤 1130 화이트 샤크 스킨,65
조던 1 미드 라이트 스모크 그레이,2714
푸마 팔레르모 블랙 화이트,74
(W) 나이키 코르테즈 화이트 레드 스타더스트,200
(W) 킨 재스퍼 락스 SP 스니커즈 베이지,173
아디다스 x 송 포 더 뮤트 컨트리 OG 코어 블랙 코어 화이트,946
나이키 에어포스 1 '07 LX 오일 그린,2567
나이키 캄 슬라이드 블랙,155
(W) 아디다스 가젤 볼드 그레이 클라우드 화이트,1079
(W) 호카 호파라 2 블랙,604
나이키 줌 보메로 5 SP 블랙,2365
나이키 P-6000 플랫 퓨터 라이트 아이언 오어,338
(키즈) 뉴발란스 프리들 920 샌들 그레이,91
아식스 x 언어펙티드 젤 카야노 14 실버 문,1261
크록스 x 살레헤 벰버리 폴렉스 클로그 오르차타,374
메종 미하라 야스히로 블레이키 OG 솔 캔버스 로우탑 스니커즈 블랙 화이트,797
아디다스 삼바 OG 프리러브 브라운 원더 화이트,606
오클리 팩토리 팀 x 브레인 데드 찹 쏘우 뮬 노마드,63
나이키 덩크 로우 쿨 그레이 화이트,17275
아디다스 삼바 ADV 블랙,642
아디다스 가젤 인도어 세미 블루 버스트 올모스트 옐로우,181
(W) 나이키 코르테즈 애슬레틱 디파트먼트 페일 아이보리 딥 로얄 블루,42
아식스 젤 1130 와일드 도브 화이트 - 폴더 한정,279
(W) 호카 호파라 블랙,50
살로몬 RX 모크 3.0 퓨터 데저트,73
컨버스 x 다크쉐도우 터보웨폰 블랙 크림,247
아디다스 가젤 코어 블랙 화이트,243
호카 오라 리커버리 뮬 블랙,136
(W) 아디다스 가젤 볼드 원더 쿼츠 코어 블랙,706
나이키 에어포스 1 '07 화이트 유니버시티 블루,11772
메종 마르지엘라 카프스킨 레플리카 스니커즈,343
나이키 에어 줌 스피리돈 케이지 2 트리플 화이트,1933
아식스 젤 님버스 9 크림 블랙,962
컨버스 x 아더에러 척 70 하이 화이트,6596
아디다스 가젤 컬리지에이트 버건디,406
(W) 나이키 덩크 로우 로즈 위스퍼,408
(GS) 나이키 코트 버로우 로우 2 트리플 화이트,6635
(W) 아식스 x 스나이델 젤 1090 V2 실버,570
휠라 인터런 핑크 블라썸,147
나이키 x 트래비스 스캇 맥 어택 SP 라이트 스모크 그레이,524
나이키 줌 머큐리얼 베이퍼 15 프로 TF 브라이트 크림슨 화이트,1396
버켄스탁 A630 클로그 블랙,46
아디다스 x 스포티 앤 리치 스페지알 핸드볼 팬톤 코어 화이트,627
호카 호파라 2 쉬프팅 샌드,159
뉴발란스 991v2 메이드 인 UK 락 릿지 알로이 실버,164
나이키 P-6000 프리미엄 한글날 포톤 더스트 카키,44
살로몬 RX 슬라이드 3.0 아몬드 밀크 알로에 워시,89
아디다스 슈퍼스타 트리플 블랙,440
나이키 에어포스 1 미드 '07 WB 플랙스,2823
조던 1 x 트래비스 스캇 레트로 하이 OG SP 모카,5502
조던 1 레트로 하이 스파이더맨 넥스트 챕터,318
(W) 버켄스탁 보스턴 소프트 풋베드 스웨이드 레더 핑크 클레이 - 내로우,97
아디다스 아딜렛 22 그레이 파이브,153
(W) 헌터 플레이 쇼트 레인 부츠 징크 그레이,213
조던 1 로우 OG 스타피쉬,7974
나이키 줌X 인빈시블 런 플라이니트 3 화이트 포톤더스트,1065
우포스 x 타카히로미야시타 더 솔로이스트 더 데이 더 홀 월드 웬 어웨이 플립-플랍 블랙,26
아디다스 x 아트모스 아디매틱 화이트 블랙,56
푸마 스피드캣 OG 스파르코 블랙 화이트,244
(W) 킨 하이퍼포트 H2 샌들 버치 플라자 토프,5
(W) 아디다스 가젤 볼드 그린 클라우드 화이트,1098
나이키 에어포스 1 '07 프레쉬 포톤 더스트,443
(W) 나이키 덩크 로우 레트로 프리미엄 팀 레드 앤 화이트,2921
조던 4 x 나이키 SB 레트로 파인 그린,5445
나이키 에어 쿠키니 라탄 앤 파티클 그레이,225
(W) 나이키 에어맥스 97 넥스트 네이쳐 화이트,1269
나이키 코비 8 프로트로 베니스 비치,352
(GS) 나이키 코트 버로우 로우 리크래프트 화이트 핑크 폼,801
나이키 에어포스 1 미드 '07 컬러 오브 더 먼스 서밋 화이트,3494
아식스 젤 소노마 15-50 블랙 옵시디언 그레이,4794
(W) 조던 1 로우 화이트 아이스 블루,1166
뉴발란스 530 블랙,6655
살로몬 ACS 프로 메탈 고스트,51
나이키 에어 모어 업템포 슬라이드 블랙 화이트,400
나이키 덩크 로우 레트로 팀 레드,2490
뉴발란스 990v6 메이드 인 USA 그레이 - D 스탠다드,1343
닥터마틴 1461 스무스 블랙,792
나이키 SB 덩크 로우 프로 블랙 앤 클래식 그린,7021
살로몬 XT-윙스 2 ADV 블랙,433
나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈 2.0,3113
아디다스 x 송 포 더 뮤트 컨트리 OG 그레이 투 코어 블랙,311
나이키 줌 보메로 5 SE 라이트 오어우드 브라운,821
살로몬 XT-4 블랙 실버 메탈릭,348
뉴발란스 2002R 프리미엄 빈티지 블랙,1420
아디다스 이지 부스트 350 V2 오닉스,8719
메종 미하라 야스히로 피터슨 OG 솔 캔버스 로우탑 스니커즈 내츄럴,761
아식스 젤 벤쳐 6 SPS 글레이셔 그레이,934
조던 1 로우 골프 울프 그레이,2717
나이키 코르테즈 화이트 블랙,865
